Parameter,Estimate
Intercept,3.638448
IntLotFrontage,-0.000231
MSSubClass,-0.000139
MSZoning C,-0.363794
MSZoning FV,0.089339
MSZoning RH,0.082802
MSZoning RL,0.042371
MSZoning RM,0
LogLotArea,0.073297
Street Grvl,-0.104974
Street Pave,0
Alley Gr,-0.030194
Alley NA,-0.023189
Alley Pa,0
LotShape IR1,-0.005405
LotShape IR2,-0.002317
LotShape IR3,0.104030
LotShape Reg,0
LandContour Bnk,-0.016821
LandContour HLS,0.002394
LandContour Low,-0.019266
LandContour Lvl,0
LotConfig Corner,0.011597
LotConfig CulDSac,0.038674
LotConfig FR2,-0.034966
LotConfig FR3,-0.058528
LotConfig Inside,0
LandSlope Gtl,0.162705
LandSlope Mod,0.194058
LandSlope Sev,0
Neighborhood Blmngtn,-0.038976
Neighborhood Blueste,0.048870
Neighborhood BrDale,0.015966
Neighborhood BrkSide,0.017606
Neighborhood ClearCr,-0.041058
Neighborhood CollgCr,-0.068908
Neighborhood Crawfor,0.082490
Neighborhood Edwards,-0.131454
Neighborhood Gilbert,-0.075630
Neighborhood IDOTRR,0.016598
Neighborhood MeadowV,-0.111492
Neighborhood Mitchel,-0.091530
Neighborhood NAmes,-0.071000
Neighborhood NPkVill,-0.039215
Neighborhood NWAmes,-0.105459
Neighborhood NoRidge,0.009716
Neighborhood NridgHt,0.029834
Neighborhood OldTown,-0.042704
Neighborhood SWISU,-0.035793
Neighborhood Sawyer,-0.074587
Neighborhood SawyerW,-0.070324
Neighborhood Somerst,-0.028006
Neighborhood StoneBr,0.085158
Neighborhood Timber,-0.052101
Neighborhood Veenker,0
Condition1 Artery,-0.120588
Condition1 Feedr,-0.083044
Condition1 Norm,-0.042370
Condition1 PosA,-0.031439
Condition1 PosN,-0.005419
Condition1 RRAe,-0.142894
Condition1 RRAn,-0.058972
Condition1 RRNe,-0.058083
Condition1 RRNn,0
Condition2 Artery,-0.012564
Condition2 Feedr,-0.018903
Condition2 Norm,0.043119
Condition2 PosA,0.228834
Condition2 PosN,-0.689906
Condition2 RRNn,0
BldgType 1Fam,0.026622
BldgType 2fmCon,0.042170
BldgType Duplex,-0.018980
BldgType Twnhs,-0.024079
BldgType TwnhsE,0
OverallQual,0.044027
OverallCond,0.040149
YearBuilt,0.001907
YearRemodAdd,0.000586
RoofStyle Flat,-0.186115
RoofStyle Gable,-0.085519
RoofStyle Gambr,-0.055062
RoofStyle Hip,-0.083502
RoofStyle Mansa,0
RoofMatl ClyTile,-1.749226
RoofMatl CompShg,-0.085917
RoofMatl Membran,0.272881
RoofMatl Roll,-0.026816
RoofMatl Tar&Grv,-0.101021
RoofMatl WdShake,-0.261501
RoofMatl WdShngl,0
MasVnrType BrkCmn,-0.081327
MasVnrType BrkFace,-0.017529
MasVnrType None,-0.022256
MasVnrType Stone,0
LogMasVnrArea,-0.001304
ExterQual Ex,0.022336
ExterQual Fa,-0.002942
ExterQual Gd,0.003759
ExterQual TA,0
ExterCond Ex,-0.010044
ExterCond Fa,-0.040625
ExterCond Gd,-0.022517
ExterCond TA,0
Foundation BrkTil,0.229864
Foundation CBlock,0.261097
Foundation PConc,0.260480
Foundation Slab,0.307087
Foundation Stone,0.303611
Foundation Wood,0
BsmtQual Ex,0.054654
BsmtQual Fa,0.006872
