Parameter,Estimate
Intercept,2.763297
IntLotFrontage,-0.000254
MSSubClass,-0.000169
MSZoning C,-0.395397
MSZoning FV,0.085973
MSZoning RH,0.078871
MSZoning RL,0.040038
MSZoning RM,0
LogLotArea,0.081825
Street Grvl,-0.133936
Street Pave,0
Alley Gr,-0.037105
Alley NA,-0.024209
Alley Pa,0
LotShape IR1,-0.007949
LotShape IR2,-0.001410
LotShape IR3,0.073942
LotShape Reg,0
LotConfig Corner,0.012825
LotConfig CulDSac,0.042849
LotConfig FR2,-0.036476
LotConfig FR3,-0.063863
LotConfig Inside,0
LandSlope Gtl,0.181234
LandSlope Mod,0.197221
LandSlope Sev,0
Neighborhood Blmngtn,-0.032314
Neighborhood Blueste,0.056905
Neighborhood BrDale,0.033816
Neighborhood BrkSide,0.019520
Neighborhood ClearCr,-0.037675
Neighborhood CollgCr,-0.069243
Neighborhood Crawfor,0.094387
Neighborhood Edwards,-0.126565
Neighborhood Gilbert,-0.075332
Neighborhood IDOTRR,0.015653
Neighborhood MeadowV,-0.116830
Neighborhood Mitchel,-0.080864
Neighborhood NAmes,-0.079463
Neighborhood NPkVill,-0.084092
Neighborhood NWAmes,-0.095962
Neighborhood NoRidge,0.001377
Neighborhood NridgHt,0.039540
Neighborhood OldTown,-0.035397
Neighborhood SWISU,-0.034323
Neighborhood Sawyer,-0.068996
Neighborhood SawyerW,-0.054541
Neighborhood Somerst,-0.023246
Neighborhood StoneBr,0.103256
Neighborhood Timber,-0.053328
Neighborhood Veenker,0
Condition1 Artery,-0.120740
Condition1 Feedr,-0.075760
Condition1 Norm,-0.033825
Condition1 PosA,-0.105884
Condition1 PosN,-0.014134
Condition1 RRAe,-0.152492
Condition1 RRAn,-0.048827
Condition1 RRNe,-0.034937
Condition1 RRNn,0
Condition2 Artery,-0.029936
Condition2 Feedr,-0.042525
Condition2 Norm,0.028020
Condition2 PosA,0.248492
Condition2 PosN,-0.689070
Condition2 RRNn,0
BldgType 1Fam,0.020815
BldgType 2fmCon,0.027490
BldgType Duplex,-0.022346
BldgType Twnhs,-0.026069
BldgType TwnhsE,0
OverallQual,0.043981
OverallCond,0.040080
YearBuilt,0.001906
YearRemodAdd,0.000527
RoofMatl ClyTile,-1.764297
RoofMatl CompShg,-0.103710
RoofMatl Membran,0.174668
RoofMatl Roll,0.003212
RoofMatl Tar&Grv,-0.130411
RoofMatl WdShake,-0.155746
RoofMatl WdShngl,0
Exterior1st AsbShng,0.010579
Exterior1st BrkComm,-0.389853
Exterior1st BrkFace,0.039334
Exterior1st CBlock,-0.074869
Exterior1st CemntBd,-0.106103
Exterior1st HdBoard,-0.063039
Exterior1st ImStucc,-0.030076
Exterior1st MetalSd,0.054808
Exterior1st Plywood,-0.068710
Exterior1st Stone,-0.068206
Exterior1st Stucco,0.033188
Exterior1st VinylSd,0.011817
Exterior1st Wd Sdng,-0.060473
Exterior1st WdShing,0
Exterior2nd AsbShng,-0.064467
Exterior2nd AsphShn,0.112855
Exterior2nd Brk Cmn,0.164038
Exterior2nd BrkFace,-0.016666
Exterior2nd CBlock,0
Exterior2nd CmentBd,0.116620
Exterior2nd HdBoard,0.045503
Exterior2nd ImStucc,0.055730
Exterior2nd MetalSd,-0.038608
Exterior2nd Other,-0.120883
Exterior2nd Plywood,0.041827
Exterior2nd Stone,0.032556
Exterior2nd Stucco,-0.016035
Exterior2nd VinylSd,-0.000758
Exterior2nd Wd Sdng,0.061000
Exterior2nd Wd Shng,0
MasVnrType BrkCmn,-0.075196
MasVnrType BrkFace,-0.015516
MasVnrType NA,-0.060777
MasVnrType None,-0.019547
MasVnrType Stone,0
ExterCond Ex,0.019113
ExterCond Fa,-0.036632
ExterCond Gd,-0.026043
ExterCond TA,0
